Country,Title,Price,Discount,Rating,Number of Ratings
DE,"Apple AirTag - Finde und behalte Deine Sachen im Blick: Schlüssel, Geldbörsen, Gepäck, Rucksäcke und mehr. Einfaches Einrichten mit iPhone oder iPad. Austauschbare Batterie",2989.0,0,,0
DE,Apple iPhone 14 128GB - Mitternacht (Generalüberholt),45100.0,0,,0
DE,Apple iPhone 13 128GB - Mitternacht (Generalüberholt),33988.0,0,,0
DE,"Apple iPhone 13 Pro, 128GB, Graphit - (Generalüberholt)",45999.0,0,,0
FR,Apple iPhone 16 Pro Max (256 Go) - Titane Sable + Coque Transparente avec MagSafe,,0,,745
FR,"NEW'C Lot de 2, Verre Trempé pour iPhone 11 et iPhone XR, Film Protection écran - Sans Bulles d'air -Ultra Résistant (0,33mm HD Ultra Transparent) Dureté 9H Glass",537.0,0,,100130
FR,"Lot de 2 pour Chargeur Rapide iPhone, 20W PD USB-C Prise Secteur avec 2m Câble USB C vers Lightning pour iPhone 14/14 pro/13/13 Pro/13 Pro Max/13 Min",1383.0,0,,1122
FR,"NEW'C Lot de 2, Verre Trempé pour iPhone 12, 12 Pro (6,1 Pouces), Film Protection écran -sans Bulles d'air -Ultra Résistant (0,33mm HD Ultra Transparent) Dureté 9H Glass",595.0,0,,21437
FR,"NEW'C Lot de 3, Verre Trempé Anti-Espion pour iPhone 14, iPhone 13, iPhone 13 Pro (6,1 Pouces), Angle de Confidentialité 28 Degrés Amélioré, Dureté Ultra-Résistante 9H, Sans Bulles",895.0,0,,2375
FR,"NEW'C Lot de 2, Verre Trempé pour iPhone 11 Pro et iPhone X et iPhone XS (5,8 Pouces), Film Protection écran sans Bulles d'air Ultra Résistant (0,33mm HD Ultra Transparent) Dureté 9H Glass",595.0,0,,11575
FR,"JETech Coque Magnétique pour iPhone 15 6,1 Pouces Compatible avec MagSafe, Etui Translucide Mat Arrière Housse Fine Antichoc (Noir)",1599.0,0,,5896
FR,"Chargeur Rapide for iPhone 14/14/Pro/14 Pro Max/14 Plus/13 12 11 SE XR X XS 8, 30W USBC Charger Prise Secteur Type C Alimentation USB C Adaptateur et 2M Cable",1099.0,54,,52
FR,"JETech Coque en Silicone pour iPhone 13 6,1 Pouces, étui de Protection Complète du Corps au Toucher Soyeux, Housse Doublure Douce en Tissu Microfibre, Anti-Chocs (Noir)",1139.0,0,,11649
FR,"Ecran iPhone 13 6.1'', Écran iphone 13 LCD Complet Replacement, Écran iphone 13 Tactile 3D Numériseur Assemblage Complet Cadre étanche Autocollant, Protège-écran",2925.0,5,,588
FR,"INIU Batterie Externe, 22.5W 10000mAh Power Bank, Batterie Portable USB C Input & Output PD3.0 QC4.0 Charge Rapide Powerbank Compatible avec iPhone 16 15 14 13 12 Pro Max Plus Samsung iPad Pro etc",,0,,26049
FR,UGREEN MagFlow Chargeur Induction iPhone 2 en 1 Qi 15W Compatible avec MagSafe iPhone 16 Plus Pro Max 15 14 13 12 Mini AirPods 4 3 2 Pro Chargeur sans Fil Magnétique Rapide Pliable Angle Réglable,2659.0,10,,1768
FR,"Chargeur Rapide iPhone 13 14, Apple Certified 20W USB C Chargeur iPhone avec câble de Charge Original Lightning 2m Cable Compatible avec iPhone 14 13 12 11 Plus Pro Max SE XR XS X iPad",881.0,54,,2191
FR,Apple Iphone Xr 64Go Noir (Reconditionné),17900.0,0,,10513
FR,Apple iPhone 11 64GB Noir (Reconditionné),19500.0,0,,3994
FR,"Apple iPhone 12, 128Go, Noir - (Reconditionné)",27900.0,0,,11515
FR,"JETech Coque pour iPhone 13 6,1 Pouces, Anti-Jaunissement étui de Protection Transparente Antichoc, Housse Anti-Rayures (HD Clair)",999.0,0,,44602
FR,"NEW'C Kit de 4, 2 x Verre Trempé pour iPhone 16 Pro Max (6,9 Pouces) et 2 x Protection Caméra Arrière - Anti Rayures - sans Bulles d'air -Ultra Résistant - Dureté 9H Glass",795.0,0,,40512
FR,"NEW'C Lot de 2, Verre Trempé pour iPhone 12 Mini (5,4 Pouces), Film Protection écran -sans Bulles d'air -Ultra Résistant (0,33mm HD Ultra Transparent) Dureté 9H Glass",595.0,0,,7995
FR,"EXW Chargeur sans Fil pour iphone 15W,Rapide Chargeur Mag-Safe,magnétique Chargeur sans Fil,Chargeur Induction Compatible avec iPhone 16/15/14/13/12/11/AirPods 2/3/pro(Blanc)",1099.0,0,,590
FR,"Chargeur Rapide pour iPhone 16/16 Pro/16 Pro Max/16 Plus/15/15 Pro/15 Pro Max/15 Plus/iPad P ro/iPad Air, Prise Adaptateur Secteur Embout USB C 27 W avec Câble USB-C 2M",1399.0,35,,830
FR,"Apple Chargeur MogSafe,iPhone Rapide Chargeur magnétique 15W, Chargeur Induction Compatible avec iPhone 14/14 Plus/14 Pro/14 Pro Max/15/16/13/12/11/X/XS/SE/XR/AirPods Pro 2",1089.0,0,,18820
FR,"Chargeur Rapide pour iPhone 14/14 Pro/14 Pro Max/14 Plus/13 12 11 SE Mini X XS XR 8, Prise Adaptateur Secteur Embout USB C 25W et 2M Cable Secteur",1199.0,35,,735
FR,"Ecouteurs pour iPhone 11,Casque pour iPhone 12,Casque antibruit filaires stéréo HiFi avec Micro et contrôle du Volume intégrés,Compatible avec iPhone 13/13 Pro/12/12Pro/11/11Pro/X/XS/SE/XR/8Plus/7Plus",999.0,0,,4
FR,"JETech Coque Mate pour iPhone 16 Pro 6,3 Pouces, Protection Antichoc de Qualité Militaire Contre Les Chutes, Étui Housse Arrière Translucide Givrée, Anti-Traces de Doigts (Titane Sable)",1199.0,0,,558
FR,"JETech Protection D'écran Anti-Espion à Couverture Complète pour iPhone 16e 2025, iPhone 13/13 Pro 6,1 Pouces, Film en Verre Trempé, Compatible Coque, Lot de 2",1138.0,0,,15006
FR,"JETech Protection D'écran pour iPhone 16e 2025, iPhone 13/13 Pro 6,1 Pouces, Film en Verre Trempé, Lot de 3",699.0,54,,42413
FR,"IDISON Cable iPhone Lot de 5,Cable Lightning 2m 2m 3m 1m 1m,Chargeur iPhone Long Certifié MFI,Cable iPhone usb Fil iPhone Tressé Nylon Compatible avec iPhone 13/12/11/Pro Max/XS/XR/X/8/7/7Plus/6s/6/SE",949.0,0,,16582
FR,"NEW'C Lot de 3, Verre Trempé pour iPhone 16 Plus, iPhone 15 Pro Max, iPhone 15 Plus (6,7 Pouces), Film Protection écran sans Bulles d'air Ultra Résistant (0,33mm HD Ultra Transparent) Dureté 9H Glass",695.0,0,,213178
FR,"JETech Coque pour iPhone 14 6,1 Pouces, Anti-Jaunissement Étui de Protection Antichoc, Housse Anti-Rayures Dos Transparente (Transparente)",949.0,0,,13561
